,TG,RH,moment_of_year_cos,moment_of_year_sin,wind_x,wind_y,TG_-1,RH_-1,moment_of_year_cos_-1,moment_of_year_sin_-1,wind_x_-1,wind_y_-1,TG_-2,RH_-2,moment_of_year_cos_-2,moment_of_year_sin_-2,wind_x_-2,wind_y_-2,TG_-3,RH_-3,moment_of_year_cos_-3,moment_of_year_sin_-3,wind_x_-3,wind_y_-3,TG_-4,RH_-4,moment_of_year_cos_-4,moment_of_year_sin_-4,wind_x_-4,wind_y_-4,DATE
0,5.4,0.0,0.2705541094442515,0.9627047698348793,-4.172271622986784,-1.0402641510785702,4.6,0.0,0.2870744558625314,0.95790827159558,-4.881354020649553,-0.427063139463524,8.0,1.4,0.3035098488419846,0.952828301246303,-6.795173495784236,-1.1981724259018203,10.0,1.3,0.3198554246857019,0.9474663620937311,-4.9809734904587275,-0.4357787137382897,8.2,0.8,0.3361063462762,0.9418240408870774,-0.7053423027509679,-0.9708203932499367,1999/01/17
1,3.7,-0.1,0.36830501970487567,0.9297050136791729,-2.896025650788264,-0.15177427310453634,7.1,1.4,0.38424324304625884,0.9232318940403292,-4.330127018922193,-2.5000000000000004,10.3,4.1,0.40006775796055793,0.9164855640109191,-4.820907072649046,-5.745333323392334,5.7,10.8,0.41577388152693334,0.9094680200205104,-3.5238044383472986,-2.95682300455808,5.1,6.9,0.4313569658598111,0.9021813387585768,1.361467532079082,-2.5605480192908887,1999/01/23
2,-2.9,0.0,0.4773220589410176,0.8787284290657198,0.34286692028084487,-0.2060152299640218,1.6,-0.1,0.49236725610297705,0.8703875488066367,-0.06975647374412558,-0.9975640502598242,5.9,0.6,0.5072667478888437,0.8617890962911263,2.274011238562429,-1.260505012640476,5.9,-0.1,0.5220161251182438,0.8529356160441033,1.6320065190596382,-1.3215728212046596,7.1,0.2,0.5366110230338672,0.8438297280604342,-1.2901246183630826,-3.360889535389926,1999/01/30
3,4.6,4.0,0.8910720854913379,0.4538618054629822,-2.3395136062375004,-2.994440863705544,3.8,1.5,0.8987475371682992,0.4384664918028704,-5.072061666378194,-0.5330951626650305,4.5,2.6,0.9061570240673708,0.4229414235250154,-1.8651503074967295,1.5103689385196104,4.5,1.5,0.9132983535121022,0.4072911949356175,1.351906080272688,1.860739087062379,3.8,0.6,0.9201694121814552,0.3915204373792449,0.7372368398600925,-0.5162187927159418,1999/03/06
4,8.9,0.0,0.9330926644152302,0.35963603770268426,-2.8772616073430903,3.195522749552795,10.8,0.0,0.9391410336243499,0.3435318310768126,-1.4616727322281617,-0.6507786289212798,7.5,0.0,0.944911484479208,0.32732596368039524,0.8228993532094621,-1.1326237921249265,5.8,0.0,0.9504023093404413,0.31102323128723997,0.9660882731206125,0.8698697882665157,6.6,-0.1,0.9556118833178883,0.29462845833632345,0.1830270597700821,2.092008865992666,1999/03/12
5,10.8,0.0,0.9391410336243499,0.3435318310768126,-1.4616727322281617,-0.6507786289212798,7.5,0.0,0.944911484479208,0.32732596368039524,0.8228993532094621,-1.1326237921249265,5.8,0.0,0.9504023093404413,0.31102323128723997,0.9660882731206125,0.8698697882665157,6.6,-0.1,0.9556118833178883,0.29462845833632345,0.1830270597700821,2.092008865992666,7.2,1.3,0.9605386647515016,0.2781464965039148,-0.42323860079430337,1.2291741482791119,1999/03/13
6,7.0,5.2,0.9651811956675012,0.26158222326804403,0.4495279120990943,-1.112620625480145,6.1,0.6,0.9695381022098867,0.24494054046492847,2.2750440616201164,-2.5266924066231415,6.4,0.2,0.973608095046975,0.22822637283846187,-0.10120854043725477,-2.8982333983553774,6.3,4.9,0.9773899697529307,0.2114446665829273,-4.18773066368533,-2.1337553487758676,5.5,2.8,0.9808826071642364,0.19460038787908485,3.0192140446035265,-1.960700526054097,1999/03/18
7,6.4,0.2,0.973608095046975,0.22822637283846187,-0.10120854043725477,-2.8982333983553774,6.3,4.9,0.9773899697529307,0.2114446665829273,-4.18773066368533,-2.1337553487758676,5.5,2.8,0.9808826071642364,0.19460038787908485,3.0192140446035265,-1.960700526054097,8.0,3.6,0.9840849737108346,0.17769852142476023,-0.6077686218342562,-3.446827135542728,8.4,0.0,0.9869961217220362,0.16074406895950938,-3.3978713763747797,-2.468698059628387,1999/03/20
8,10.6,0.3,0.989615189706921,0.14374204778468586,-2.963065021785413,0.46930339512069297,10.2,4.0,0.9919414026093116,0.12669748927848376,-2.3037489589799223,-2.074304879712461,6.9,0.0,0.9939740720371187,0.10961543740709455,1.6544815407788969,-1.5977142520556944,6.2,0.0,0.9957125964660469,0.09250094723214002,1.0392304845413265,0.5999999999999999,9.9,0.0,0.9971021892012085,0.07607380817441275,-3.595066325116466,0.1884094424745977,1999/03/25
9,6.9,0.0,0.9939740720371187,0.10961543740709455,1.6544815407788969,-1.5977142520556944,6.2,0.0,0.9957125964660469,0.09250094723214002,1.0392304845413265,0.5999999999999999,9.9,0.0,0.9971021892012085,0.07607380817441275,-3.595066325116466,0.1884094424745977,12.4,1.7,0.9982632700696518,0.05891047130897461,-2.6995887769222566,-0.04712149738066462,13.3,0.0,0.9991289366443878,0.04172970117140568,-1.3667456206434374,1.3198509038720945,1999/03/27
